year,data_type,scenario,station_count,chla,chla_lower,chla_upper,chloride,chloride_lower,chloride_upper,chromium,chromium_lower,chromium_upper,copper,copper_lower,copper_upper,dissolved_oxygen,dissolved_oxygen_lower,dissolved_oxygen_upper,conductivity,conductivity_lower,conductivity_upper,iron,iron_lower,iron_upper,manganese,manganese_lower,manganese_upper,lead,lead_lower,lead_upper,pH,pH_lower,pH_upper,tds,tds_lower,tds_upper,temperature,temperature_lower,temperature_upper,total_nitrogen,total_nitrogen_lower,total_nitrogen_upper,total_phosphorus,total_phosphorus_lower,total_phosphorus_upper,tss,tss_lower,tss_upper,turbidity,turbidity_lower,turbidity_upper,zinc,zinc_lower,zinc_upper
2039,Future Projection,Moderate Impact,18,0.040119240225749656,0.0,0.1524531128578487,49.29101459439062,7.516931523684287,98.15521334151582,0.10374881660629906,0.01959699869230094,0.2685941585474187,0.09372244241639066,0.02646280727051031,0.25360190300905716,4.6562730402247645,2.2454927129049294,6.4240442334183205,438.3390677013467,99.45410296168987,944.7044985404991,24.79646925667188,7.788486494642807,41.975881396744136,5.815234530381947,2.0572304583422327,9.314107858703805,0.18673448245062307,0.08536433483457055,0.4727050041464344,7.143072540639594,6.734072540639594,7.6830725406395945,329.79078535102303,132.9180815906745,558.769831094975,21.769748419529876,20.010568936682365,23.64486236686304,0.27005479331844107,0.06996874190523246,1.2631199196576177,0.05685151658958519,0.020673278759849163,0.20569912366049917,152.586095282155,72.02949571186863,431.0798535563436,95.69021468822694,49.886455501652485,221.3198432774997,1.0303393456958143,0.5302813165847792,2.464571714904388
2040,Future Projection,Moderate Impact,18,0.04025364021587763,0.0,0.152963832820335,49.33593539014429,7.523781992242267,98.24466595933988,0.10410977657978562,0.019665180020626175,0.26952864381211167,0.09395144049480827,0.026527465551475282,0.2542215448683048,4.657225348777036,2.2459519647348998,6.42535808941663,438.4945975466885,99.48939089833982,945.0396950935287,24.912024963878146,7.824782148497348,42.17149604696705,5.84241346798359,2.06684543396658,9.35763964662811,0.18704255830875288,0.08550516951257277,0.47348487617587165,7.142890667856019,6.733890667856018,7.682890667856019,329.9270636792845,132.97300687894662,559.0007296580852,21.77420497653892,20.014653227052086,23.64971572384294,0.2713689265552479,0.07030922188022332,1.269266479206137,0.05690012610982422,0.020690954949026993,0.20587500174281856,153.06486379424126,72.25550224558671,432.43245032930577,95.87032203730891,49.980351385205175,221.73640969865176,1.0376993451552032,0.5340692629732113,2.482176833611246
2041,Future Projection,Moderate Impact,18,0.04038148544113995,0.0,0.15344964467633185,49.378665372837176,7.530298359506234,98.32975592151277,0.10445313232763302,0.019730036106330687,0.2704175536926499,0.0941692702051532,0.02658897041086679,0.2548109664374734,4.658131212693162,2.246388818588824,6.426607867901778,438.64254211196567,99.52295782201116,945.3585439177617,25.021944952741734,7.859307642425279,42.3575704581225,5.868266873156941,2.075991481696315,9.399048364202832,0.18733560912998432,0.08563913560227855,0.4742267133976174,7.142717665112766,6.733717665112765,7.682717665112766,330.0566956350486,133.02525342930022,559.2203671653907,21.77844418469789,20.018538324229972,23.654332379809826,0.2726189687578129,0.07063309645088789,1.2751132675081343,0.056946364915786446,0.020707769060285982,0.20604230214984554,153.52028249046214,72.47048631058877,433.7190801792321,96.04164544732448,50.069667912479986,222.1326599357105,1.0447003932052832,0.5376724690363192,2.4989233405470377
2042,Future Projection,Moderate Impact,18,0.0405030955811914,0.0,0.15391176320852737,49.41931138968306,7.536496919788573,98.41069599726126,0.10477974241805692,0.019791729123410755,0.2712631109267473,0.09437647623516376,0.026647475642869775,0.25537164157750203,4.658992897104774,2.2468043668288824,6.427796693970959,438.78327133565233,99.55488766749731,945.6618423013397,25.126504080489575,7.8921493081449485,42.53456991316021,5.8928593928813715,2.084691471414728,9.438437554790749,0.18761436769401374,0.085766568088692,0.4749323707911319,7.142553099812863,6.733553099812863,7.682553099812864,330.1800053657269,133.07495188532528,559.4292928250636,21.782476644235285,20.022233942982623,23.658723878808328,0.27380804568276046,0.07094117547235157,1.2806749045798207,0.0569903486285715,0.020723763137662363,0.20620144321974052,153.95349015477518,72.67498547901748,434.94296035092293,96.2046133160371,50.154628421318,222.5095848206662,1.0513599961128628,0.5410999446660868,2.514853110701968
2043,Future Projection,Moderate Impact,18,0.040618774724726,0.0,0.15435134395395883,49.45797507689561,7.5423931727186755,98.48768857893454,0.10509042354640698,0.019850413336543544,0.27206742984792026,0.0945735767078438,0.026703127541038256,0.2559049722682833,4.659812556671733,2.247199648542126,6.428927540308576,438.9171371141102,99.58526027604351,945.9503486482025,25.22596379940345,7.923389266927114,42.70293700291268,5.916252521265864,2.0929671576277356,9.475905711885243,0.18787953104245006,0.08588778561940576,0.47560361286745934,7.142396560457346,6.733396560457345,7.682396560457346,330.2973012098754,133.12222651904852,559.6280290600777,21.786312438400365,20.02574932428188,23.662901201873368,0.27493913064176534,0.0712342293026392,1.2859652974108027,0.05703218723037143,0.02073897717468052,0.2063528228880712,154.36557003198902,72.86951110531281,436.10715118229825,96.3596331480047,50.23544535724528,222.86812686206258,1.057694806354043,0.5443602603368809,2.530005976798871
2044,Future Projection,Moderate Impact,18,0.040728812129857156,0.0,0.1547694860934572,49.494753113831884,7.5480018620000875,98.56092618809045,0.10538595257733063,0.019906235486829123,0.2728325216724226,0.09476106447704005,0.02675606526410543,0.25641229211434374,4.660592240969898,2.24757565213873,6.430003234619508,439.044474181513,99.61415159499148,946.2247843744937,25.320572810586896,7.9531056349409,42.86309273280278,5.938504753316318,2.100839233861484,9.51154652539534,0.18813176222178185,0.086003091301386,0.4762421180814249,7.142247655616284,6.7332476556162835,7.682247655616284,330.40887646820113,133.16719554167858,559.8170728145376,21.789961158676515,20.02909325841207,23.666874794488475,0.27601505193638104,0.07151299072897145,1.2909976747388008,0.05707198533948349,0.020753449214357633,0.20649681968285843,154.75755253643945,73.05454960486436,437.21456375683647,96.50709257355345,50.31232080469729,223.20918260175938,1.0637206642540822,0.547461568536101,2.5444198288957645
2045,Future Projection,Moderate Impact,18,0.0408334829474136,0.0,0.15516723520017173,49.52973746474104,7.553337012277448,98.63059195689962,0.1056670684873394,0.019959335158719664,0.2735602995283342,0.09493940835983351,0.026806421183953,0.2568948696795496,4.6613338996161335,2.247933317823538,6.431026466699834,439.16560094685616,99.64163386768743,946.4858357124758,25.410567685847504,7.981372718584904,43.01543757557662,5.9596717312035254,2.1083273844069375,9.545449115919288,0.18837169194133876,0.08611277345889773,0.47684948302864616,7.142106012950016,6.7331060129500155,7.682106012950016,330.5150101369668,133.20997139919535,559.996896796298,21.79343192876496,20.032274106950304,23.67065459270495,0.27703849993026636,0.07177815680011447,1.2957846201283825,0.057109842471910366,0.020767215444331043,0.20663379367109388,155.13041782856217,73.23056367030325,438.2679671827992,96.64736031805539,50.38544699233531,223.5336048567538,1.0694526375964593,0.5504116241496445,2.558130709130731
2046,Future Projection,Moderate Impact,18,0.04093304890895985,0.0,0.15554558585404743,49.563015608722885,7.5584119642054075,98.69686008607138,0.10593447421263502,0.020009845129053284,0.27425258323937735,0.09510905430882637,0.026854321216609803,0.2573539116591773,4.662039387143368,2.2482735399470615,6.431999795162732,439.2808202901452,99.66777581412796,946.7341554264699,25.49617345924967,8.008261200291905,43.160352472694036,5.979806383397594,2.1154503335408643,9.577698257592465,0.1885999201503935,0.08621710635446561,0.4774272264378533,7.141971278278097,6.732971278278097,7.681971278278097,330.6159676056269,133.25066105352352,560.1679506589792,21.79673342739877,20.035299823674748,23.67425004798713,0.2780120337764963,0.07203039056936496,1.3003381034364307,0.05714585329020203,0.020780310287346195,0.20676408735909466,155.48509826580437,73.39799342847473,439.2699955174449,96.78078712393399,50.455006773718154,223.84220485166742,1.0749050593001823,0.5532178038531606,2.571172901846036
2047,Future Projection,Moderate Impact,18,0.04102775898126135,0.0,0.15590548412879313,49.59467075847119,7.563239407807208,98.75989628044617,0.10618883840681617,0.02005789169906528,0.2749111038754241,0.09527042652725572,0.026899885137107504,0.2577905658972802,4.662710467637892,2.2485971692418234,6.432925653836347,439.3904203197534,99.69264280279593,946.9703644451047,25.577604189816952,8.033838315271751,43.298199786880616,5.9989590570166795,2.122225892346277,9.608374590066884,0.18881701753834745,0.08631635087467314,0.4779767929685025,7.141843114693666,6.732843114693666,7.681843114693667,330.7120013204395,133.28936624999326,560.3306621263362,21.799873910044198,20.038177974453248,23.67767015084602,0.2789380878167776,0.07227032275252875,1.304669510743019,0.05718010784016142,0.020792766487331426,0.2068880265489477,155.8224807340039,73.55725754098447,440.2231543535433,96.90770662770285,50.521174084531346,224.13575424723,1.0800915632595498,0.5558871245575817,2.583579019316843
2048,Future Projection,Moderate Impact,18,0.04111784998883111,0.0,0.15624782995755823,49.62478206834875,7.56783141420636,98.81985816334401,0.10643079711286071,0.020103595010207025,0.2755375080810727,0.09542392852972267,0.026943226878980524,0.2582059242568967,4.6633488191504915,2.248905014949631,6.433806357849617,439.49467509284284,99.71629701411563,947.1950534139626,25.655063496791136,8.05816801963442,43.429324208223285,6.017177643721013,2.128671003249421,9.637554820152317,0.1890235269617515,0.086410755182515,0.47849955682317674,7.141721201721007,6.732721201721008,7.6817212017210075,330.80335141571345,133.32618377175635,560.4854380617898,21.802861229543662,20.0409157561619,23.68092345332021,0.27981897766857095,0.07249855330503883,1.3087896728225432,0.05721269177600581,0.020804615191274845,0.2070059211531847,156.143408865066,73.70875425107073,441.129827084663,97.02843619423082,50.58411437751694,224.41498706983356,1.0850251184359898,0.5584262609550561,2.5953800832988874
2049,Future Projection,Moderate Impact,18,0.041203547206114396,0.0,0.1565734793832347,49.65342483231455,7.572199465810728,98.8768956707049,0.10666095535356437,0.020147069344562164,0.2761333621931167,0.09556994415118902,0.02698445481915926,0.25860102535027624,4.663956037892451,2.249197846845104,6.434644109421316,439.5938453006502,99.73879759593628,947.4087841725008,25.728745068786413,8.081311150313596,43.554053616075066,6.034507699466991,2.1348017823846615,9.665311913623283,0.18921996480173014,0.08650055533793378,0.4789968251838083,7.141605234514186,6.732605234514185,7.681605234514186,330.8902463142689,133.36120568179462,560.6326654857979,21.80570285575194,20.043520014681036,23.684018090360468,0.28065690601534077,0.07271565292215647,1.3127088922262988,0.057243686574547044,0.02081588602710802,0.2071180659697248,156.44868514648226,73.85286237941983,441.99228086489643,97.14327771031944,50.64398503619153,224.6806015469804,1.089718061287217,0.5608415622091545,2.606605602599023
2050,Future Projection,Moderate Impact,18,0.04128506492079209,0.0,0.15688324669900996,49.68067067219784,7.57635448502454,98.93115142600676,0.10687988864441303,0.020188423410611354,0.2767001561572026,0.09570883850676457,0.027023672048968824,0.2589768571359512,4.66453364222691,2.2494763971605103,6.435441003366737,439.6881789203503,99.76020081143247,947.6120911589434,25.79883314811179,8.10332557719069,43.67269989892422,6.050992558420805,2.140633559893218,9.691715277671483,0.18940682225520317,0.08658597588809289,0.47946984148031435,7.141494923094779,6.732494923094779,7.68149492309478,330.9729032986138,133.3945195531252,560.7727125436079,21.80840589421468,20.04599726201344,23.686961800171307,0.28145396811441153,0.07292216446600663,1.3164369690442252,0.05727316973892594,0.020826607177791254,0.20722474141902297,156.7390729279676,73.98994227141522,442.81267227792637,97.25251833957722,50.70093576838705,224.93326185321587,1.0941821266148049,0.5631390678310864,2.6172836468626133
2051,Future Projection,Moderate Impact,18,0.04136260696961156,0.0,0.15717790648452395,49.70658771679007,7.580306861560084,98.9827610968984,0.10708814443267105,0.02022776061506009,0.27723930725347057,0.09584095890468508,0.027060976631911093,0.25933435938914795,4.665083076465568,2.249741362416729,6.4361990323358285,439.77791183512875,99.78056017979137,947.8054827466539,25.86550299147283,8.124266347799704,43.78555973427798,6.066673441316415,2.1461809182564977,9.716830934459932,0.189584566563134,0.08666723042886126,0.4799197884998192,7.141389991626783,6.732389991626782,7.681389991626783,331.05152905426326,133.4262086877789,560.9059294258115,21.810977103935997,20.048353692567794,23.68976194356057,0.28221215703620195,0.07311860432301596,1.3199832254102357,0.05730121499241053,0.02083680545178565,0.20732621424526723,157.01529833023193,74.12033669818861,443.59305272960813,97.35643124047817,50.75510898059828,225.1735997709104,1.0984284769072998,0.5653245227816237,2.627440916762261
2052,Future Projection,Moderate Impact,18,0.041436367248084714,0.0,0.15745819554272195,49.73124077220229,7.5840664784174,99.03185373443932,0.10728624346628465,0.020265179321409327,0.2777521636404925,0.09596663571476383,0.0270964618488745,0.259674426051714,4.665605714480208,2.249993405164914,6.4369200917958524,439.8632684240123,99.7999266100386,947.9894425153352,25.928921308204703,8.144185824974716,43.89291533051079,6.08158955852887,2.1514577287598997,9.740721686212769,0.1897536421788753,0.08674452213891443,0.4803477913442386,7.141290177726868,6.732290177726867,7.681290177726868,331.1263201865606,133.45635232509846,561.0326492440038,21.813422914279478,20.050595198647883,23.692425522345253,0.28293336864793944,0.07330546369514795,1.3233565288124078,0.05732789246274266,0.020846506350088244,0.20742273818337803,157.2780520606603,74.24437171372638,444.33537357755296,97.45527624940041,50.80664013407332,225.40221627004468,1.102467730252258,0.5674033918364957,2.637102810763402
