year,data_type,scenario,station_count,chla,chla_lower,chla_upper,chloride,chloride_lower,chloride_upper,chromium,chromium_lower,chromium_upper,copper,copper_lower,copper_upper,dissolved_oxygen,dissolved_oxygen_lower,dissolved_oxygen_upper,conductivity,conductivity_lower,conductivity_upper,iron,iron_lower,iron_upper,manganese,manganese_lower,manganese_upper,lead,lead_lower,lead_upper,pH,pH_lower,pH_upper,tds,tds_lower,tds_upper,temperature,temperature_lower,temperature_upper,total_nitrogen,total_nitrogen_lower,total_nitrogen_upper,total_phosphorus,total_phosphorus_lower,total_phosphorus_upper,tss,tss_lower,tss_upper,turbidity,turbidity_lower,turbidity_upper,zinc,zinc_lower,zinc_upper
2049,Future Projection,Petroleum Impact,18,0.0460285283664256,0.0,0.1749084077924173,54.33858000797999,8.286690553549871,108.20663679268787,0.11729560770690335,0.02215583701130397,0.303665295507872,0.10561378248489804,0.02982036211338298,0.28577847025325365,4.209029242777396,2.029808907555852,5.807002682567773,482.1733193503637,109.39959150691855,1039.1756916744791,28.13867545485695,8.838262072263477,47.633624421619814,6.5993259022332165,2.334615083823508,10.569966340480649,0.21334487060328616,0.09752908370435938,0.5400673010128901,7.12585019399072,6.71685019399072,7.665850193990721,362.85328477624876,146.2435115038124,614.7881555601275,22.231088949885496,20.434540426672786,24.14603465371108,0.30665272287905826,0.07945093274593783,1.4342984174661413,0.06482579982646464,0.023573018118714414,0.23455153028120848,174.96971997184824,82.5958660985083,494.3171336994027,109.38907989518927,57.02812439430615,253.00365452782088,1.1783401642317084,0.606452404524586,2.8185896728422466
2050,Future Projection,Petroleum Impact,18,0.04617344874807482,0.0,0.17545910524268435,54.42739113142463,8.300234343203387,108.38349001513706,0.1176542856514852,0.022223587289724983,0.3045938728532894,0.1058846579023327,0.029896844584188065,0.2865114272651357,4.203628881368823,2.0272045774220215,5.799552054078979,482.8271685667679,109.54794238887551,1040.5848617476452,28.24043122543664,8.870223213049625,47.8058783063594,6.623232755018637,2.3430725081038735,10.60825731640642,0.21384874139161686,0.0977594246361677,0.5413428139227786,7.125532853454672,6.716532853454672,7.665532853454673,363.35595208098067,146.44610532022912,615.6398328580941,22.239381774497566,20.442155877893843,24.15504949236744,0.30779138302058795,0.07974594923715234,1.4396242414917502,0.06495491575322737,0.023619969364809958,0.2350186951798591,175.50348341926576,82.84783343456088,495.8250998631674,109.6592364932208,57.16896591242886,253.6284939236936,1.183968768340406,0.6093492594391958,2.832053293870252
2051,Future Projection,Petroleum Impact,18,0.046311301279309436,0.0,0.1759829448613759,54.51187088526814,8.31311759444106,108.5517180041485,0.11799547066629087,0.022288033348077167,0.30547716294717525,0.10614232256977046,0.029969596960876376,0.287208637541732,4.198491898694053,2.0247272619676084,5.792464797029415,483.44912918059833,109.6890581129436,1041.9253057853664,28.33722430852479,8.90062559060602,47.969731270008246,6.645973656835335,2.3511174589348434,10.64468081939986,0.2143280381116234,0.0979785317081707,0.5425561193339952,7.1252309897991974,6.716230989799197,7.6652309897991975,363.83410401197614,146.63881851962657,616.4499733640992,22.247270153280795,20.449399919176162,24.163624672154498,0.30887451005171707,0.08002657760430851,1.4446903220146226,0.06507773462193578,0.02366463077161301,0.23546307617754947,176.0112149161722,83.08751217862716,497.2595216492918,109.9162173984914,57.30293850865853,254.22285954263498,1.189322862187465,0.612104833072482,2.844860286352416
2052,Future Projection,Petroleum Impact,18,0.04644243066326171,0.0,0.17648123652039452,54.59223051289865,8.325372522101569,108.71174141732075,0.11832001589157273,0.022349336335074854,0.30631737447484947,0.10638742078309146,0.030038801162284655,0.2878718444718946,4.193605449620661,2.0223707666136006,5.785723189584869,484.0407564173544,109.82329154193688,1043.2003755959436,28.429296737246375,8.929545226712444,48.12559303032268,6.66760547178306,2.3587700528839233,10.679327927190608,0.2147839592547603,0.09818695280217613,0.5437102511420504,7.124943848207922,6.715943848207921,7.664943848207922,364.28893619812084,146.82213298538306,617.2206028513909,22.254773811291003,20.456290664396207,24.171781635488323,0.3099048123541992,0.08029351956449707,1.4495093268748684,0.0651945635437351,0.02370711401590367,0.23588578445824154,176.49418405577543,83.31550165241038,498.6239858593982,110.16066519711964,57.43037718426895,254.78823760828357,1.1944158337963255,0.6147260157938422,2.857042674440811
2053,Future Projection,Petroleum Impact,18,0.04656716479169377,0.0,0.17695522620843634,54.66867095524272,8.337029769887373,108.86396039653926,0.11862873285944207,0.02240764954011684,0.3071166084027778,0.10662056541549494,0.030104630234963285,0.2885027064183982,4.188957315480726,2.0201291988941685,5.779310374215184,484.6035296532927,109.95097832934692,1044.4132595180572,28.516878740631597,8.957054435522725,48.27385332288824,6.68818229066669,2.366049425422044,10.712285275595017,0.21521764486136413,0.09838520907948073,0.5448080952776246,7.124670710677302,6.715670710677302,7.664670710677303,364.72158595679167,146.99650709914732,617.9536482950908,22.261911511581708,20.462845344006247,24.179540779026038,0.310884866220451,0.0805474426116623,1.4540933060947463,0.06530569465178329,0.023747525327921196,0.23628787701281592,176.95359851249182,83.53237194834942,499.9219043647296,110.39319113592923,57.551600602328975,255.32604186029582,1.1992604182488205,0.617219361925393,2.868630920451179
2054,Future Projection,Petroleum Impact,18,0.04668581556489779,0.0,0.1774060991466116,54.74138335322225,8.348118486989927,109.00875556853934,0.11892239352312202,0.022463118776589717,0.3078768632320826,0.10684233945000154,0.030167248785882794,0.28910280086471013,4.1845358735177935,2.017996953722434,5.7732103155416485,485.13885611463877,110.07243775865132,1045.566990393275,28.600189319308335,8.983222004387802,48.4148828756617,6.707755566251421,2.3729737787722076,10.743635275150812,0.21563017937134812,0.09857379628404485,0.5458523969228983,7.124410894221242,6.715410894221241,7.664410894221242,365.1331351377425,147.1623768870311,618.6509426906345,22.26870110212149,20.469080348119494,24.186921504668035,0.31181712229562547,0.08078898168568478,1.4584537220099942,0.0654114058317361,0.023785965756994945,0.23667035928209973,177.39060706176144,83.73866535514681,501.1565226376047,110.61437665088457,57.66691188452623,255.83761708943146,1.2038687295295123,0.6195911061311891,2.8796540010345932
2055,Future Projection,Petroleum Impact,18,0.04679867967160921,0.0,0.177834982752115,54.81054952570638,8.358666400977839,109.14648899667148,0.1192017321872328,0.02251588274647731,0.3086000399958361,0.10705329743721445,0.030226813394037027,0.2896736283595216,4.180330067823931,2.0159686993748305,5.767407760240202,485.64807439638497,110.18797354168873,1046.6644531497377,28.679436793117834,9.00811336585991,48.549034335983976,6.726374241921478,2.379560427424523,10.773456317186369,0.2160225943358669,0.09875318598211057,0.5468457673759373,7.124163749163268,6.715163749163267,7.664163749163268,365.5246128282921,147.32015710990183,619.3142296372149,22.275159560423248,20.475011267493898,24.19394226807287,0.31270391170550094,0.08101874076006162,1.462601477931639,0.06551196141660592,0.023822531424220333,0.23703418767099232,177.80630245258507,83.93489771377298,502.3309278667899,110.82477482098344,57.77659936912916,256.324242500231,1.208252290816965,0.6218471790071314,2.8901394796341804
2056,Future Projection,Petroleum Impact,18,0.0469060393308831,0.0,0.1782429494573558,54.87634242415338,8.368699887130244,109.27750508624811,0.11946744734393569,0.022566073387187857,0.3092879470126335,0.10725396688198482,0.030283473001972188,0.29021661626890016,4.176329381694195,2.014039364159019,5.761888198900173,486.1324578094757,110.29787457809664,1047.7083920159785,28.75481932202278,9.031790761308061,48.67664315238227,6.7440848740640735,2.3858258414314535,10.801822969839863,0.21639587099673155,0.09892382674136298,0.5477906905802975,7.1239286575120015,6.714928657512002,7.6639286575120025,365.8969979265785,147.47024230050076,619.9451676976895,22.281303035996785,20.48065293251717,24.200620624806007,0.31354745188551014,0.0812372943521549,1.466546945409955,0.06560761284773195,0.02385731376281162,0.23738027193997563,178.20172413996585,84.12155970733737,503.4480566770782,111.02491175124257,57.880937331982935,256.78713490969324,1.212422063297692,0.6239932219105456,2.90011357540808
2057,Future Projection,Petroleum Impact,18,0.0470081629977888,0.0,0.17863101939159748,54.938926565079356,8.378244034388732,109.40213144573643,0.1197202034195273,0.02261381620146627,0.30994230440833176,0.10744484956244861,0.03033736928822079,0.2907331223454493,4.172523811329398,2.012204123732013,5.756637829743201,486.59321756474765,110.40241567771098,1048.7014173829266,28.826525401610436,9.054313396553884,48.79802841336603,6.760931748484618,2.3917856875915247,10.828806164518458,0.21675094274002538,0.09908614525258302,0.5486895293361785,7.123705031415865,6.714705031415864,7.663705031415865,366.25122158931407,147.61300774998028,620.5453345458502,22.287146890731037,20.48601945029048,24.206973274237882,0.3143498521254835,0.08144518895978436,1.4702999901687392,0.06569859930351465,0.0238903997467326,0.2377094774799894,178.57786088408818,84.29911808805178,504.51070247238204,111.21528788823431,57.980186672341915,257.2274517899518,1.2163884735748332,0.6260346010665142,2.909601228791001
2058,Future Projection,Petroleum Impact,18,0.04710530603468742,0.0,0.1790001629318122,54.99845844143524,8.387322708092773,109.52067970595013,0.11996063243585137,0.022659230571216372,0.3105647484172597,0.10762642278473333,0.030388637021571772,0.2912244381233962,4.168903840821397,2.010458389036812,5.751643524111597,487.031505801588,110.5018582477338,1049.6460123312434,28.894734334429806,9.075737589917006,48.91349364531449,6.776956991144307,2.397454868624482,10.854473373263769,0.2170886974300552,0.09924054739659667,0.5495445312086541,7.123492311693132,6.714492311693132,7.663492311693132,366.58816956016256,147.74881044632724,621.1162309114306,22.29270573730677,20.491124239903563,24.213016101301015,0.3151131188439726,0.08164294442775653,1.4738699967747633,0.06578514829748618,0.02392187210817679,0.2380226274763591,178.9356532227332,84.46801684435403,505.521522420697,111.39637927146366,58.07459556525365,257.64629416255804,1.220161439740092,0.627976420986234,2.9186261638583
