year,data_type,scenario,station_count,chla,chla_lower,chla_upper,chloride,chloride_lower,chloride_upper,chromium,chromium_lower,chromium_upper,copper,copper_lower,copper_upper,dissolved_oxygen,dissolved_oxygen_lower,dissolved_oxygen_upper,conductivity,conductivity_lower,conductivity_upper,iron,iron_lower,iron_upper,manganese,manganese_lower,manganese_upper,lead,lead_lower,lead_upper,pH,pH_lower,pH_upper,tds,tds_lower,tds_upper,temperature,temperature_lower,temperature_upper,total_nitrogen,total_nitrogen_lower,total_nitrogen_upper,total_phosphorus,total_phosphorus_lower,total_phosphorus_upper,tss,tss_lower,tss_upper,turbidity,turbidity_lower,turbidity_upper,zinc,zinc_lower,zinc_upper
2053,Future Projection,Baseline,18,0.03897621289714473,0.0,0.14810960900915,47.297701748250006,7.212949219951704,94.18584794542228,0.10189765521431358,0.01924733487381479,0.2638017073881674,0.09081899208398471,0.025643009529595688,0.2457455079919587,4.904675636966779,2.3652851340177454,6.766753790048971,417.6149283577535,94.75203362783252,900.0400159313153,24.725430645382755,7.766173508915024,41.855626037354234,5.799576166847643,2.0516910665563524,9.289028270582753,0.17726288538861895,0.0810344618919401,0.4487283327266183,7.14945749237379,6.740457492373789,7.68945749237379,314.43540259004436,126.72928521024382,532.752959148058,21.592668405776564,19.847668405776567,23.452668405776567,0.2699866764212481,0.06995109343641427,1.2628013183521105,0.053377055960349085,0.019409838531036033,0.19312789338380854,147.81518745441574,69.77735023108671,417.6012843334429,91.12735522756378,47.50768682414138,210.76650358627344,1.059834771206083,0.5454616289140641,2.535124772724951
2054,Future Projection,Baseline,18,0.039016999100433616,0.0,0.14826459658164776,47.29480605976907,7.2125076244153945,94.18008164251788,0.10201969600960914,0.019270387024037286,0.26411765744709925,0.0908786806872394,0.02565986278227936,0.24590701833017725,4.907595711595845,2.3666933431678663,6.770782481755825,417.463115880327,94.71758911929254,899.7128310168803,24.769850254996165,7.780125556925984,41.930820301728005,5.810034520533737,2.055390873268316,9.305779140001317,0.17728609704902726,0.08104507293669817,0.44878709138696615,7.149451927574594,6.740451927574593,7.689451927574594,314.3311387221288,126.68726295274558,532.576303199947,21.592593201580975,19.847593201580978,23.452593201580978,0.27049941726259397,0.07008393992712662,1.2651995471054969,0.05336040853043526,0.01940378492015828,0.19306765995557487,147.9533072903111,69.84255081249589,417.9914947161184,91.1509204640745,47.51997215683092,210.82100711590124,1.0630129169169051,0.5470973145732339,2.542726897265237
2055,Future Projection,Baseline,18,0.03905579613711566,0.0,0.14841202532103956,47.292051595681826,7.212087565747528,94.17459656552464,0.10213578480508376,0.019292314907626933,0.26441819843982795,0.09093545824296258,0.025675894092130617,0.24606065171625177,4.9103733725047505,2.3680328731473126,6.774614691849628,417.31870738479256,94.68482448925685,899.401603099017,24.81210349468528,7.793397155526055,42.00234729855403,5.8199828142917855,2.0589102382777007,9.321713059878224,0.17730817666339915,0.08105516647469675,0.4488429843536333,7.149446634173858,6.740446634173858,7.6894466341738585,314.23195986305524,126.64729014492934,532.4082628640906,21.592521665137284,19.847521665137286,23.452521665137287,0.27098715143802554,0.0702103074180339,1.2674808128624016,0.05334457300525891,0.01939802654736688,0.19301036414630046,148.08469094232203,69.90457152402684,418.362674313865,91.17333641043882,47.53165832677498,210.87285247702232,1.0660360626323895,0.54865322690147,2.549958261816676
2056,Future Projection,Baseline,18,0.039092701019991065,0.0,0.14855226387596607,47.28943146839332,7.211687993582638,94.16937899889302,0.10224621188319405,0.019313173355714433,0.2647040818753802,0.09098946672461772,0.02569114354577442,0.24620679231367154,4.9130155652925875,2.369307073478763,6.778260002851721,417.1813417746924,94.65365780908402,899.1055539458193,24.852296019558047,7.806021490624605,42.0703858825811,5.829445924038017,2.0622579618301855,9.336869873312773,0.17732917944227133,0.08106476774503832,0.44889615138814976,7.149441598935324,6.740441598935323,7.689441598935324,314.1376180140161,126.60926683395459,532.248417952121,21.592453617567124,19.847453617567123,23.452453617567123,0.2714510985370306,0.0703305118936852,1.2696508199754752,0.053329509787758744,0.019392549013730456,0.19295586268661805,148.20966693801313,69.96356744976353,418.71575126901587,91.19465911819859,47.542774555485494,210.92216931004458,1.0689117677915119,0.5501332564900314,2.556836948557297
2057,Future Projection,Baseline,18,0.0391278060304899,0.0,0.14868566291586166,47.28693912622054,7.2113079087821825,94.16441589598874,0.1023512533691542,0.019333014525284686,0.26497602261125475,0.09104084118154068,0.025705649274787967,0.24634580555005134,4.915528896817581,2.370519130326747,6.781727529938369,417.05067556445056,94.62401114583963,898.8239432801992,24.890528331861997,7.818030129635104,42.13510618570902,5.838447512475913,2.065442414978403,9.351287480233385,0.17734915790353084,0.0810739007558998,0.4489467254357952,7.14943680926827,6.740436809268269,7.68943680926827,314.04787727124824,126.5730979417385,532.0963687684989,21.592388888716116,19.847388888716115,23.452388888716115,0.2718924186690159,0.0704448539278814,1.2717149945928066,0.05331518121204494,0.019387338622561798,0.1929040192944899,148.32854778247082,70.01968611024996,419.05160845786855,91.2149419052297,47.55334863932441,210.96908093273856,1.0716472231550573,0.551541104183803,2.5633801577868973
2058,Future Projection,Baseline,18,0.0391611989494238,0.0,0.14881255600781046,47.28456833700987,7.210946360936185,94.15969484646935,0.10245117192139278,0.019351888029596417,0.26523470064093907,0.09108971007663355,0.025719447551049483,0.24647803903089088,4.91791965171768,2.3716720744647173,6.78502594373344,416.92638202048056,94.5958103674233,898.5560669288081,24.926896032292216,7.829453100410097,42.1966700424069,5.847010088265284,2.068471560513932,9.365001932167157,0.17736816200373712,0.08108258834456554,0.44899483295803166,7.149432253196034,6.740432253196033,7.689432253196034,313.9625132361509,126.53869302721094,531.9517351110662,21.592327316728422,19.847327316728425,23.452327316728425,0.27231221536418493,0.0705536194352661,1.2736784982261198,0.05330155144921478,0.01938238234516901,0.19285470433443166,148.44163073972842,70.07306783136819,419.37108569833526,91.23423548906459,47.563407019009134,211.0137046485961,1.0742492687862701,0.5528802903353338,2.5696042509367585
2059,Future Projection,Baseline,18,0.03919296327648369,0.0,0.14893326045063804,47.282313172553394,7.210602445986707,94.15520404525199,0.10254621738833561,0.019369841062241173,0.26548076279424665,0.09113619560758873,0.025732572877436823,0.2466038234087696,4.920193808125425,2.37276878885356,6.788163491989493,416.80815034418083,94.56898495719985,898.3012550612369,24.96149005904287,7.840318966326482,42.25523139438367,5.855155062305651,2.0713529728784215,9.378047522387462,0.17738623926303948,0.08109085223453234,0.4490405942487229,7.1494279193260635,6.740427919326063,7.6894279193260635,313.8813124541722,126.5059660601649,531.814155320343,21.59226874764201,19.84726874764201,23.45226874764201,0.2727115383329378,0.07065708038626117,1.2755462406572413,0.053288586417761755,0.019377667788277004,0.19280779449335622,148.54919857608144,70.12384609522637,419.67498184992553,91.25258811371239,47.572974845728034,211.0561520401504,1.0767244111545735,0.5541541636075539,2.57552479148174
2060,Future Projection,Baseline,18,0.03922317843903252,0.0,0.1490480780683236,47.2801679937653,7.2102753039672365,94.15093226299444,0.10263662743315706,0.019386918515151893,0.2657148243547288,0.09118041401244684,0.025745058074102642,0.24672347321015037,4.922357052616388,2.3738120158505005,6.79114802021144,416.6956848947764,94.54346783767102,898.0588705150914,24.994396915200056,7.850654897708828,42.31093667552252,5.862902801274643,2.074093857103645,9.390456871664993,0.17740343488400223,0.0810987130898296,0.4490841237349314,7.149423796821425,6.740423796821425,7.689423796821425,313.8040718810616,126.47483520613604,531.6832853751905,21.59221303500364,19.84721303500364,23.45221303500364,0.2730913860906946,0.07075549548713451,1.2773228922151127,0.05327625369835407,0.019373183163037846,0.19276317247222657,148.65152026715032,70.17214787393331,419.9640568113107,91.27004567029422,47.58207604403158,211.09652924799016,1.0790788394051316,0.5553659093471746,2.5811565838570756
2061,Future Projection,Baseline,18,0.03925191999071505,0.0,0.1491572959647172,47.278127436581265,7.209964116852326,94.14686881801602,0.10272262812806164,0.019403163090856088,0.265937470598204,0.09122247586025237,0.02575693436054185,0.2468372876218594,4.92441479442858,2.374804364066424,6.7939869912744095,416.5887044500633,94.51919520274667,897.8283072027533,25.02569888504458,7.860486739769334,42.36392517804188,5.870272678555299,2.0767010668278267,9.402261009836689,0.17741979186463458,0.08110619056669009,0.4491255302630464,7.149419875373711,6.740419875373711,7.689419875373711,313.7305983751535,126.44522262177394,531.5587980325786,21.59216003950271,19.84716003950271,23.45216003950271,0.27345270845470343,0.07084911082690043,1.279012895454045,0.05326452245276937,0.0193689172555525,0.19272072669274737,148.74885167045966,70.21809394709507,420.2390334204666,91.28665181179471,47.59073337165613,211.13493723616648,1.0813184408349388,0.5565185575497151,2.5865137104771736
2062,Future Projection,Baseline,18,0.039279259800381265,0.0,0.14926118724144882,47.27618639854542,7.209668106512098,94.14300354958769,0.10280443451958239,0.019418615409254453,0.2661492582562522,0.09126248632753384,0.025768231433656617,0.2469455512392093,4.926372178988364,2.375748314888761,6.796687504084812,416.48694150320597,94.4961063581965,897.6089885958471,25.055474239805527,7.869839077234332,42.41432940079852,5.877283122679618,2.0791811214333125,9.413489453396478,0.17743535110590802,0.08111330336270081,0.44916491737095576,7.149416145177259,6.740416145177258,7.689416145177259,313.66070821441247,126.41705426019321,531.4403820093083,21.592109628622858,19.84710962862286,23.45210962862286,0.2737964089190788,0.07093816049267042,1.280620476262419,0.053253363346783156,0.01936485939883024,0.1926803510183609,148.8414361652155,70.26179920382683,420.5005992621453,91.30244806221742,47.598968476430144,211.1714720446557,1.0834488156141249,0.5576149904360697,2.5916095669489865
