feature,importance
turbidity,0.46653549505348163
dissolved_oxygen,0.18303042343229725
total_phosphorus,0.10590761245025276
tss,0.0927059825813485
tds,0.07974502070354494
temperature,0.024246523491723626
conductivity,0.014485817906651228
total_nitrogen,0.013363539279875622
chla,0.010120246816389346
pH,0.009859338284435165
